data_code,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,396,802490,1105896,1560961,2170815,2549364,3132380,3879523,3945736
20,367,1023299,1335653,1813330,2352352,2662951,3303927,3552082,3970445
21,452,1163452,1526608,2038116,2984853,3512746,4368859,4944905,5592692
22,202,154601,194647,260958,374240,451007,521361,679257,800669
23,43,80658,117935,183061,306743,376459,530533,719384,874779
24,99,89413,124210,176589,257494,330053,398309,466472,520404
25,115,203541,267466,363594,509732,632094,960905,1177169,1079991
27,93,135821,184002,281705,424423,502599,652971,865440,1001351
28,69,129649,194711,288034,427496,541812,731658,924362,1129712
29,18,56867,82107,124487,174004,237293,345288,456330,611171
52,2,2252,4154,7004,12993,19170,39405,42252,57008
53,0,378,964,1981,3365,5251,8970,11057,12733
86,0,0,0,80,329,594,803,1164,1417
88,1,1123,2031,3000,7613,7033,7881,10388,10672
310,4,7491,11433,17382,27257,37157,51636,76849,82674
311,46,66586,95719,132871,194153,241173,293697,387526,423160
312,16,30631,40784,55940,83375,130762,166685,231820,243424
313,1,2139,3697,7143,14106,22098,31873,45657,52750
314,0,1933,3238,6398,11487,16069,21721,31212,37698
315,2,15439,21943,33244,50988,63875,82919,116548,139408
316,16,23659,34373,48431,84669,109135,158028,245673,298173
317,8,14786,20772,34553,48552,63591,85686,120472,149769
318,3,8018,12772,18435,29636,38076,50346,82102,83333
319,7,12274,18853,29607,44889,57687,85343,129256,106564
335,1,10378,13343,18509,25084,32357,42530,51641,56149
349,0,0,290,1328,2626,3483,5403,7458,9390
350,0,0,0,720,3196,4365,6329,10179,13828
351,7,18405,25913,37947,57864,77356,103427,146139,174897
352,0,818,2259,4763,8301,10843,19866,24686,25943
353,0,0,116,1150,2281,3174,5166,6602,7672
354,0,1108,1485,3053,5768,8988,15255,21791,28257
355,0,677,1545,3384,5997,8104,12442,16385,20929
356,0,0,223,2437,4453,5875,8722,10534,12977
357,0,0,340,3027,5632,7909,13540,57099,24290
358,0,0,0,1233,3338,5328,11219,15245,17501
359,0,0,1211,3373,8191,12115,50552,59206,50498
370,2,3202,5788,9616,16015,22435,31189,50005,52844
371,38,84361,119192,185098,310253,397716,544644,656323,757699
372,2,4100,5469,9322,15682,20987,26794,36099,42359
373,5,6559,8931,13596,21678,31670,44018,56946,72712
374,3,6335,8503,11698,15782,21647,32807,44212,51195
375,2,3216,4637,8625,13683,17687,23853,31222,37337
376,1,2447,3879,6777,12487,19061,25419,33846,41496
377,1,5099,8776,14952,27198,41943,52868,69871,85948
378,0,3029,4780,7253,11387,18977,25508,29187,35156
379,6,10009,14166,21418,31156,41850,55548,80771,99113
391,2,3660,5251,9609,15532,25603,30080,48470,53852
392,0,1495,2150,3249,4719,6459,8339,11677,13593
393,3,2417,3678,5979,9804,13196,17120,21396,32405
394,0,3026,5043,9316,17014,24148,33902,45965,56802
395,0,3403,4864,6591,9472,13315,16628,32477,27904
396,0,2216,3537,6845,13916,17665,28155,46086,42141
398,0,1488,2108,3564,5639,7697,10752,21924,16663
410,0,2199,0,0,0,0,0,0,0
411,36,84332,111537,148672,207368,233837,270006,321362,345665
412,8,11679,14597,19912,28755,35933,43896,50296,56038
413,0,3785,0,0,0,0,0,0,0
414,0,1981,2786,4080,6199,8441,11490,13509,15317
415,2,7381,9186,13647,20064,22106,27850,37995,45098
416,1,5089,7020,9638,14676,18135,24294,28398,31852
417,0,9215,11769,16243,21412,25064,30050,37216,42668
418,0,1609,2795,4389,5945,7748,10100,12269,14479
419,0,4202,6240,9121,13757,16139,17680,22344,22793
421,0,1349,2161,3573,5575,7831,10097,19746,16710
427,0,3645,5020,7309,10058,13294,18474,22710,27085
429,0,3900,6035,8927,13986,17875,25618,27428,32744
431,17,27507,36047,53218,81761,102095,138475,173023,216494
432,1,4429,5676,10251,19601,21146,26486,34351,36062
433,0,1857,2405,4215,12754,18959,27872,27526,28880
434,0,651,1463,2536,5131,7195,10072,13434,18470
435,0,0,0,1227,5121,8231,11379,14852,18007
436,0,0,0,405,2231,3641,5431,7445,9361
437,0,0,0,639,1864,3126,4037,4979,5822
438,0,0,52,1291,3553,4857,6489,10066,11839
439,0,0,0,563,3156,4616,7488,9232,11514
451,16,33303,43028,63863,93217,120124,153741,212352,246752
